date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:37	9358/9358	U-----	200	untouched ('OK')	text/html	date:Wed,%2030%20Oct%202019%2015:50:53%20GMT	http://benoitbossy.ch/	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/index.html	(from )
12:30:37	94/94	U-----	200	untouched ('OK')	text/plain	date:Fri,%2025%20Oct%202019%2015:03:55%20GMT	http://benoitbossy.ch/robots.txt		(from )
12:30:37	243/243	U-----	200	untouched ('')	application/manifest+json	date:Fri,%2025%20Oct%202019%2015:03:55%20GMT	http://benoitbossy.ch/site.webmanifest	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/site.webmanifest	(from http://benoitbossy.ch/)
12:30:37	32988/32988	U-----	200	untouched ('')	image/x-icon	date:Fri,%2025%20Oct%202019%2015:03:54%20GMT	http://benoitbossy.ch/favicon.ico	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/favicon.ico	(from http://benoitbossy.ch/)
12:30:38	33432/33432	U-----	200	untouched ('')	image/png	date:Fri,%2025%20Oct%202019%2015:03:54%20GMT	http://benoitbossy.ch/icon.png	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/icon.png	(from http://benoitbossy.ch/)
12:30:38	1815/1815	U-----	200	untouched ('OK')	text/css	date:Fri,%2025%20Oct%202019%2015:03:56%20GMT	http://benoitbossy.ch/css/normalize.css	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/css/normalize.css	(from http://benoitbossy.ch/)
12:30:38	21590/21590	U-----	200	untouched ('OK')	text/css	date:Fri,%2025%20Oct%202019%2015:03:55%20GMT	http://benoitbossy.ch/css/main.css	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/css/main.css	(from http://benoitbossy.ch/)
12:30:38	9358/9358	U-----	200	untouched ('OK')	text/html	date:Wed,%2030%20Oct%202019%2015:50:53%20GMT	http://benoitbossy.ch/index.html	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/index-2.html	(from http://benoitbossy.ch/)
12:30:39	5510/5510	U-----	200	untouched ('OK')	text/html	date:Fri,%2025%20Oct%202019%2015:03:53%20GMT	http://benoitbossy.ch/about.html	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/about.html	(from http://benoitbossy.ch/)
12:30:39	331496/331496	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:00%20GMT	http://benoitbossy.ch/img/1.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/1.jpg	(from http://benoitbossy.ch/)
12:30:39	155956/155956	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:03:59%20GMT	http://benoitbossy.ch/img/2.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/2.jpg	(from http://benoitbossy.ch/)
12:30:39	416715/416715	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:00%20GMT	http://benoitbossy.ch/img/3.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/3.jpg	(from http://benoitbossy.ch/)
